title,field,sales_point
내일 학교 : 교육을 바꾸는 디자인의 힘,사회과학,366
노동의 상실 : 좋은 일자리라는 거짓말,사회과학,985
"농업, 트렌드가 되다 : MK 에디션",사회과학,"1,109"
누가 내집 마련의 꿈을 빼앗아갔는가?,사회과학,604
"뉴마켓, 새로운 기회 : 메타버스부터 ESG까지 6가지 메가 트렌드",사회과학,119
늙어감을 사랑하게 된 사람들,사회과학,"1,489"
능력주의의 두 얼굴,사회과학,521
당신의 라이프스타일을 사겠습니다,사회과학,240
"당신이 지금껏 오해한, 세상을 지배한 단어들",사회과학,297
"대면 비대면 외면 : 뉴노멀 시대, 우리는 어떻게 연결되는가",사회과학,"1,592"
대전환,사회과학,"2,115"
대한민국 교육트렌드 2023 : 한국교육을 움직이는 20가지 키워드,사회과학,"1,969"
"대한민국, 선진국의 조건",사회과학,785
데이터로 바라본 코로나 세상 : 코로나 이후의 세상을 위해,사회과학,28
도시의 생존 : 도시의 성장은 계속될 것인가,사회과학,"1,221"
"돌봄이 돌보는 세계 : 취약함을 가능성으로, 공존을 향한 새로운 질서",사회과학,"2,537"
"동물, 채소 정크푸드",사회과학,184
디지털 권리장전 : 디지털제국에 보내는 32가지 항소이유서,사회과학,273
로봇의 지배 : 인공지능은 어떻게 모든 것을 바꿔 놓았나,사회과학,856
"마흔, 다시 만날 것처럼 헤어져라",사회과학,"3,581"
말을 부수는 말 : 왜곡되고 둔갑되는 권력의 언어를 해체하기,사회과학,"3,290"
매일 같은 밥을 먹는 사람들 : 식사를 선택할 수 없는 삶,사회과학,279
메이킹 라이트 워크,사회과학,83
몸의 감각을 꺠우고 온전히 나를 되찾는 걷는 존재,사회과학,"1,056"
미래 교육 : 행복한 미래 학교,사회과학,496
박정희와 김대중의 대화 : 우리들의 자화상,사회과학,228
발칙한 인생후반전,사회과학,88
별난 사회 선생님의 역사가 지리네요,사회과학,"1,174"
별별 교사들 : 다양성으로 학교를 숨 쉬게 하는 교사들의 이야기,사회과학,"1,026"
"별일, 하고 산다 : 일잘러 위에 일잼러, 열 가지 일 이야기",사회과학,546
보이지 않는 도시,사회과학,"6,541"
"복지의 문법 : 부유한 나라의 가난한 정부, 가난한 국민",사회과학,"1,009"
부모의 말 : 아이의 마음을 제대로 읽은 부모의 말은 다릅니다,사회과학,"4,163"
부의 삼각형,사회과학,"9,599"
브랜드로 남는다는 것 : 홍성태 교수의 특별한 경영수업,사회과학,"9,101"
비즈니스 관점으로 꿰뚫은 거의 모든 인공지능 : 인공지능이 만들어내는 새로운 부의 지도를 읽다,사회과학,187
비폭력으로 살아가기,사회과학,"2,802"
"빅씽, 디지털 경제로의 대전환",사회과학,153
뾰족한 마음 : 지치지 않고 세상에 말 걸기,사회과학,"1,066"
사람을 얻고 쓰고 키우고 남기는 법 제왕의 사람들,사회과학,355
사랑받은 아이는 흔들리지 않는다 : 우리 아이의 잠재력을 깨우는 존중의 육아법,사회과학,"1,240"
사이버전의 모든 것,사회과학,158
"산재를 말하다 : 산재의 문제, 변화 그리고 과제",사회과학,"1,014"
살아가는 책 : 책은 삶이 되고 너는 내가 된다,사회과학,"1,882"
상사가 열광하는 마법의 보고서,사회과학,190
섬이 된 할망,사회과학,233
세상에 없던 아이들이 온다 : 세계적 교육혁신가의 알파세대를 위한 21세기형 미래교육,사회과학,"1,307"
세상을 바로 보는 힘 통계 안목,사회과학,871
소비자의 마음을 읽어드립니다,사회과학,497
스마트 브레비티 : 디지털 시대의 글쓰기 바이블,사회과학,"6,451"
슬기로운 광고생활,사회과학,149
시험능력주의 : 한국형 능력주의는 어떻게 불평등을 강화하는가,사회과학,"1,596"
식량위기 대한민국,사회과학,"2,794"
